Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
107 none 0.55 0.52 0.444448443684 0.45 3 vertical 27.0602579117 0.454448443684 0
108 orthogonal 0.45 0.48 0.389037102161 0.55 1 vertical 29.2822678089 0.314037102161 0
109 none 0.45 0.5 0.483436059933 0.45 0 vertical 45.2933399677 0.358436059933 0
110 parallel 0.55 0.48 0.447688372256 0.45 3 horizontal 81.8539049625 0.487688372256 0
111 none 0.55 0.48 0.470018498542 0.55 1 horizontal 32.0508289337 0.430018498542 0
112 orthogonal 0.55 0.52 0.488825340716 0.45 2 horizontal 26.0196859837 0.358825340716 19
113 none 0.55 0.52 0.489726528667 0.45 2 horizontal 38.014291048 0.314726528667 0
114 orthogonal 0.45 0.48 0.440732122143 0.55 2 vertical 26.6551790237 0.385732122143 0
115 parallel 0.55 0.52 0.459731788822 0.45 3 vertical 44.9560070038 0.319731788822 0
116 parallel 0.45 0.5 0.455607436758 0.55 1 horizontal 104.194267035 0.305607436758 19
117 parallel 0.45 0.48 0.438328687181 0.55 1 horizontal 79.9158780575 0.378328687181 -19
118 orthogonal 0.55 0.5 0.467179304763 0.45 3 vertical 45.2745091915 0.412179304763 19
119 orthogonal 0.45 0.48 0.455726138648 0.55 3 vertical 32.8981761932 0.440726138648 0
120 none 0.55 0.5 0.50909947131 0.55 2 horizontal 55.2152779102 0.35409947131 0
121 parallel 0.55 0.48 0.470924228211 0.45 1 vertical 37.3583860397 0.475924228211 -19
122 parallel 0.45 0.48 0.486283547145 0.55 2 vertical 38.9513568878 0.426283547145 -19
123 none 0.45 0.5 0.501658952565 0.55 0 vertical 49.7556581497 0.401658952565 0
124 none 0.45 0.52 0.460937474663 0.55 1 vertical 79.3425850868 0.330937474663 0
125 none 0.55 0.52 0.515271101367 0.45 1 horizontal 91.1154649258 0.310271101367 0
126 parallel 0.55 0.48 0.467113201853 0.45 3 vertical 51.5365989208 0.432113201853 -19
127 none 0.55 0.5 0.481277491467 0.45 0 vertical 144.428514004 0.361277491467 0
128 parallel 0.45 0.5 0.44442434332 0.55 0 vertical 80.2047350407 0.45942434332 0
129 orthogonal 0.55 0.52 0.548044981023 0.45 2 vertical 38.8041629791 0.388044981023 0
130 none 0.55 0.52 0.507150208773 0.55 1 horizontal 83.9983029366 0.477150208773 0
131 parallel 0.45 0.52 0.526329230262 0.55 0 horizontal 74.855907917 0.366329230262 0
132 none 0.55 0.48 0.437472333698 0.45 2 vertical 37.8566431999 0.302472333698 0
133 none 0.45 0.5 0.473738807321 0.45 2 horizontal 33.3791260719 0.448738807321 0
134 parallel 0.45 0.48 0.474184905814 0.55 0 horizontal 74.5726079941 0.464184905814 0
135 none 0.45 0.52 0.484690298253 0.55 3 vertical 67.1333298683 0.424690298253 0
136 parallel 0.55 0.48 0.437643793523 0.45 3 vertical 62.3042531013 0.422643793523 0
137 none 0.55 0.5 0.507551531409 0.55 1 horizontal 67.5783820152 0.442551531409 0
138 none 0.45 0.52 0.526509262462 0.45 1 horizontal 57.9941320419 0.386509262462 0
139 orthogonal 0.45 0.48 0.450072229597 0.55 2 horizontal 84.0331389904 0.470072229597 -19
140 orthogonal 0.55 0.5 0.546629664705 0.45 1 vertical 26.2282540798 0.496629664705 0
141 orthogonal 0.55 0.48 0.441905170136 0.45 2 horizontal 44.4649729729 0.331905170136 19
142 orthogonal 0.55 0.48 0.46565822263 0.45 1 vertical 97.3486428261 0.33065822263 -19
143 parallel 0.45 0.5 0.462480293289 0.55 1 vertical 133.443463087 0.357480293289 19
144 none 0.55 0.52 0.508503075661 0.55 3 vertical 43.0896000862 0.448503075661 0
145 orthogonal 0.45 0.52 0.507047263232 0.55 2 vertical 82.1567358971 0.302047263232 -19
146 none 0.55 0.48 0.454562046181 0.45 0 vertical 57.4684019089 0.304562046181 0
147 parallel 0.45 0.52 0.492254034328 0.55 0 vertical 76.0299940109 0.307254034328 0
148 parallel 0.45 0.48 0.489076821596 0.55 1 horizontal 55.7731380463 0.364076821596 0
149 orthogonal 0.55 0.48 0.464537936435 0.45 3 horizontal 43.536452055 0.394537936435 -19
150 orthogonal 0.55 0.5 0.506214342755 0.45 0 horizontal 31.5718998909 0.386214342755 0
151 none 0.55 0.5 0.484775906945 0.45 3 horizontal 49.4386630058 0.414775906945 0
152 none 0.55 0.52 0.490312981893 0.45 0 vertical 54.8557732105 0.440312981893 0
153 none 0.45 0.48 0.486055786621 0.45 2 horizontal 37.8741271496 0.491055786621 0
154 orthogonal 0.55 0.48 0.477162226603 0.45 0 horizontal 33.0770988464 0.367162226603 0
155 parallel 0.45 0.48 0.48453687801 0.55 0 vertical 61.9895429611 0.40453687801 -19
