Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
77 orthogonal 0.45 0.5 0.470937648087 0.55 3 vertical 25.2971799374 0.345937648087 0
78 orthogonal 0.55 0.5 0.488293190468 0.45 0 horizontal 20.4660220146 0.438293190468 0
79 parallel 0.55 0.5 0.488043534101 0.45 3 horizontal 15.3763921261 0.408043534101 19
80 none 0.55 0.5 0.535483687221 0.55 2 vertical 19.2694911957 0.490483687221 0
81 parallel 0.55 0.5 0.500068185801 0.45 2 horizontal 24.5687460899 0.395068185801 0
82 orthogonal 0.55 0.52 0.542344630571 0.45 3 vertical 31.1761071682 0.387344630571 0
83 orthogonal 0.55 0.48 0.480292059208 0.45 2 vertical 7.25069904327 0.325292059208 0
84 orthogonal 0.45 0.5 0.529200556162 0.55 1 horizontal 25.049341917 0.479200556162 0
85 none 0.45 0.48 0.510431806364 0.45 1 horizontal 26.287815094 0.435431806364 0
86 orthogonal 0.55 0.48 0.482881115906 0.45 3 vertical 31.1200959682 0.482881115906 19
87 orthogonal 0.55 0.5 0.531827193671 0.45 2 vertical 37.0035190582 0.311827193671 0
88 orthogonal 0.55 0.52 0.53311964152 0.45 0 vertical 60.940114975 0.34811964152 19
89 parallel 0.45 0.48 0.503826025441 0.55 0 vertical 25.4815299511 0.483826025441 0
90 none 0.55 0.5 0.525997964016 0.55 0 vertical 12.8033311367 0.490997964016 0
91 orthogonal 0.55 0.5 0.520428012123 0.45 2 vertical 30.8845870495 0.480428012123 -19
92 none 0.45 0.5 0.517653208757 0.45 2 horizontal 31.603760004 0.442653208757 0
93 parallel 0.55 0.5 0.489130746319 0.45 1 vertical 19.7546298504 0.339130746319 0
94 none 0.45 0.48 0.522864887182 0.45 1 vertical 19.5206849575 0.422864887182 0
95 orthogonal 0.45 0.52 0.575 0.55 1 vertical 66.8911471367 0.468880711654 0
96 orthogonal 0.45 0.52 0.558591655877 0.55 1 horizontal 24.7060949802 0.403591655877 0
97 orthogonal 0.45 0.52 0.542531130321 0.55 2 vertical 142.520889044 0.337531130321 0
98 orthogonal 0.45 0.48 0.506316909761 0.55 3 horizontal 19.158821106 0.391316909761 0
99 none 0.45 0.52 0.537858777298 0.45 1 horizontal 31.3289909363 0.322858777298 0
100 none 0.55 0.52 0.531203951638 0.55 2 horizontal 32.3042459488 0.431203951638 0
101 none 0.45 0.5 0.538177076515 0.45 0 horizontal 31.0800549984 0.418177076515 0
102 orthogonal 0.45 0.52 0.546917385454 0.55 3 horizontal 37.4563760757 0.306917385454 -19
103 none 0.45 0.5 0.531948962901 0.55 2 horizontal 31.0724818707 0.461948962901 0
104 orthogonal 0.55 0.52 0.522453281468 0.45 1 horizontal 108.605248928 0.387453281468 -19
105 parallel 0.55 0.52 0.52549983033 0.45 0 vertical 66.8154911995 0.35049983033 0
106 parallel 0.45 0.52 0.551671661047 0.55 3 horizontal 12.9478049278 0.361671661047 0
107 parallel 0.55 0.48 0.496056604732 0.45 3 horizontal 43.7504351139 0.401056604732 0
108 none 0.45 0.52 0.546472354372 0.55 3 vertical 52.874505043 0.466472354372 0
109 orthogonal 0.55 0.52 0.54546706069 0.45 3 horizontal 31.1114411354 0.31546706069 0
110 none 0.45 0.48 0.481912086197 0.55 3 horizontal 66.9121549129 0.451912086197 0
111 parallel 0.45 0.48 0.492221231727 0.55 3 horizontal 25.0794100761 0.317221231727 19
112 orthogonal 0.55 0.48 0.47442666309 0.45 1 horizontal 76.7193310261 0.44442666309 0
113 parallel 0.45 0.52 0.538752920632 0.55 2 horizontal 6.73525905609 0.463752920632 0
114 none 0.45 0.48 0.507464177483 0.55 1 horizontal 24.8339781761 0.482464177483 0
115 parallel 0.45 0.48 0.507354156497 0.55 1 vertical 24.7274918556 0.467354156497 0
116 orthogonal 0.45 0.52 0.540172700236 0.55 3 vertical 44.6751050949 0.440172700236 0
117 orthogonal 0.45 0.48 0.486612220602 0.55 0 vertical 24.9700410366 0.356612220602 0
118 orthogonal 0.45 0.48 0.494704402364 0.55 0 horizontal 78.8037040234 0.459704402364 19
119 parallel 0.55 0.48 0.484597530501 0.45 3 horizontal 12.3130781651 0.414597530501 -19
120 parallel 0.45 0.5 0.49585554548 0.55 1 vertical 27.4444358349 0.30085554548 -19
121 orthogonal 0.45 0.48 0.484300071305 0.55 2 vertical 27.4262640476 0.469300071305 19
122 orthogonal 0.55 0.52 0.535024295336 0.45 2 vertical 42.888450861 0.410024295336 19
123 orthogonal 0.45 0.52 0.546895660961 0.55 1 horizontal 30.7452168465 0.441895660961 -19
124 none 0.55 0.52 0.52131123961 0.45 2 horizontal 51.8472340107 0.36631123961 0
125 parallel 0.55 0.5 0.504137864706 0.45 2 vertical 12.5038797855 0.439137864706 0
126 none 0.55 0.48 0.485170141999 0.45 3 vertical 12.9005331993 0.485170141999 0
127 parallel 0.55 0.5 0.492548151528 0.45 0 horizontal 18.6101279259 0.372548151528 0
128 none 0.55 0.5 0.495997705282 0.55 3 vertical 30.5907180309 0.410997705282 0
129 orthogonal 0.55 0.48 0.484150446545 0.45 0 horizontal 19.3358268738 0.464150446545 19
130 orthogonal 0.45 0.48 0.496611598884 0.55 1 vertical 18.6523609161 0.331611598884 19
131 none 0.45 0.48 0.492331213782 0.55 3 vertical 49.243778944 0.447331213782 0
