Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 orthogonal 0.55 0.5 0.453072575129 0.45 2 vertical 14.3478209972 0.328072575129 -19
1 orthogonal 0.55 0.52 0.485643356462 0.45 3 horizontal 43.8110330105 0.370643356462 19
2 orthogonal 0.45 0.5 0.538607401497 0.55 1 vertical 32.6869750023 0.363607401497 19
3 orthogonal 0.45 0.52 0.571158078583 0.55 1 horizontal 25.1113111973 0.321158078583 19
4 none 0.55 0.5 0.488872892678 0.55 0 horizontal 13.3550519943 0.338872892678 0
5 none 0.55 0.52 0.529619318911 0.45 1 vertical 20.044273138 0.354619318911 0
6 parallel 0.45 0.52 0.546838935441 0.55 3 vertical 49.3291800022 0.371838935441 0
7 parallel 0.45 0.52 0.543878347015 0.55 1 vertical 30.9207251072 0.403878347015 0
8 orthogonal 0.55 0.48 0.430800274661 0.45 0 horizontal 54.7760231495 0.490800274661 -19
9 parallel 0.55 0.5 0.449805280008 0.45 2 vertical 31.0423769951 0.419805280008 0
10 orthogonal 0.45 0.52 0.563451446343 0.55 3 horizontal 26.0619909763 0.498451446343 -19
11 parallel 0.55 0.48 0.450144368312 0.45 3 vertical 30.6617929935 0.310144368312 0
12 orthogonal 0.55 0.48 0.450026809522 0.45 1 horizontal 30.6417779922 0.305026809522 19
13 none 0.45 0.48 0.493111961371 0.45 1 horizontal 12.713093996 0.468111961371 0
14 none 0.55 0.5 0.478207278482 0.55 3 vertical 24.4745929241 0.488207278482 0
15 none 0.45 0.48 0.493301336004 0.45 0 vertical 13.0940289497 0.468301336004 0
16 none 0.55 0.5 0.479531352786 0.45 3 vertical 30.6885762215 0.334531352786 0
17 none 0.55 0.48 0.44867751076 0.55 2 horizontal 19.7556750774 0.39367751076 0
18 orthogonal 0.45 0.48 0.484033616217 0.55 3 vertical 37.6216380596 0.434033616217 -19
19 none 0.55 0.48 0.481297227085 0.55 0 vertical 13.4289419651 0.456297227085 0
20 orthogonal 0.55 0.48 0.440688022365 0.45 2 vertical 19.1771149635 0.365688022365 19
21 orthogonal 0.45 0.48 0.447608851893 0.55 2 horizontal 13.6266319752 0.422608851893 0
22 orthogonal 0.55 0.52 0.520475420956 0.45 3 horizontal 48.780987978 0.385475420956 -19
23 orthogonal 0.45 0.52 0.532394458897 0.55 2 vertical 18.8213510513 0.382394458897 -19
24 none 0.55 0.5 0.466614339751 0.45 2 vertical 19.307284832 0.356614339751 0
25 orthogonal 0.45 0.52 0.404049472571 0.55 2 horizontal 54.7696709633 0.334049472571 0
26 none 0.55 0.48 0.477915323156 0.55 0 horizontal 36.5256488323 0.312915323156 0
27 orthogonal 0.55 0.48 0.561779628048 0.45 3 horizontal 31.1362550259 0.371779628048 0
28 none 0.55 0.5 0.489998148317 0.55 1 vertical 24.7270019054 0.404998148317 0
29 orthogonal 0.45 0.48 0.485179543555 0.55 2 vertical 25.068420887 0.480179543555 -19
30 parallel 0.45 0.48 0.535024171252 0.55 1 horizontal 25.8129458427 0.490024171252 0
31 orthogonal 0.55 0.48 0.43001146779 0.45 2 vertical 26.3286640644 0.32001146779 -19
32 orthogonal 0.45 0.48 0.491707418967 0.55 1 vertical 18.6203000546 0.491707418967 19
