Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 none 0.55 0.5 0.482980747099 0.55 1 vertical 24.9166109562 0.442980747099 0
1 orthogonal 0.45 0.48 0.504416001184 0.55 2 horizontal 36.4754869938 0.464416001184 -19
2 orthogonal 0.55 0.5 0.550711457015 0.45 3 horizontal 12.9508750439 0.475711457015 0
3 parallel 0.55 0.48 0.444976919062 0.45 2 horizontal 18.4611699581 0.464976919062 19
4 parallel 0.55 0.5 0.441154755412 0.45 1 vertical 24.7623250484 0.406154755412 19
5 orthogonal 0.55 0.5 0.446879207685 0.45 0 horizontal 25.7496368885 0.311879207685 -19
6 parallel 0.55 0.48 0.420220413278 0.45 1 horizontal 24.6024160385 0.490220413278 19
7 parallel 0.45 0.48 0.499107532027 0.55 3 vertical 31.5720260143 0.494107532027 0
8 parallel 0.55 0.5 0.431045395726 0.45 1 horizontal 30.3980908394 0.391045395726 19
9 orthogonal 0.55 0.48 0.480733785989 0.45 1 horizontal 55.4520859718 0.485733785989 0
10 orthogonal 0.55 0.48 0.521801558485 0.45 0 horizontal 24.9974181652 0.321801558485 0
11 none 0.55 0.5 0.4757314127 0.55 3 vertical 24.7454462051 0.3557314127 0
12 none 0.45 0.48 0.523869546996 0.55 1 vertical 31.3789951801 0.468869546996 0
13 parallel 0.45 0.52 0.566473042191 0.55 0 vertical 36.8191199303 0.321473042191 0
14 parallel 0.45 0.5 0.537817049414 0.55 0 vertical 36.1317391396 0.387817049414 19
15 parallel 0.55 0.5 0.486217043462 0.45 3 vertical 24.6439709663 0.366217043462 19
16 none 0.45 0.52 0.536176135936 0.45 0 horizontal 37.2407579422 0.306176135936 0
17 none 0.45 0.48 0.515496594702 0.45 3 vertical 31.8667430878 0.415496594702 0
18 orthogonal 0.55 0.52 0.562169497737 0.45 2 vertical 50.1075291634 0.422169497737 0
19 parallel 0.45 0.48 0.50824542075 0.55 0 vertical 37.5838339329 0.36824542075 19
20 none 0.55 0.48 0.467252661849 0.55 1 horizontal 42.7641339302 0.307252661849 0
21 none 0.55 0.48 0.470782242378 0.55 3 horizontal 31.1879858971 0.320782242378 0
22 none 0.55 0.5 0.478971183867 0.45 1 horizontal 30.9357831478 0.393971183867 0
23 orthogonal 0.45 0.5 0.500712996202 0.55 2 vertical 37.4042630196 0.410712996202 -19
24 none 0.45 0.48 0.503469507485 0.55 1 horizontal 31.5727510452 0.313469507485 0
25 none 0.45 0.48 0.49201511466 0.55 2 vertical 38.2131421566 0.43201511466 0
26 none 0.45 0.52 0.586275180479 0.55 1 vertical 30.8879261017 0.301275180479 0
27 orthogonal 0.55 0.48 0.438337691727 0.45 2 vertical 30.4930920601 0.418337691727 19
28 parallel 0.55 0.48 0.416070301052 0.45 2 vertical 30.2375218868 0.381070301052 0
29 none 0.45 0.48 0.521058045369 0.45 0 horizontal 30.4079630375 0.376058045369 0
30 none 0.45 0.48 0.503388357946 0.55 2 horizontal 24.2158298492 0.393388357946 0
31 none 0.45 0.5 0.508912727724 0.55 0 horizontal 18.590763092 0.458912727724 0
32 none 0.45 0.5 0.534635497862 0.45 0 vertical 25.1770501137 0.354635497862 0
33 none 0.55 0.48 0.466614150217 0.55 0 vertical 18.7763547897 0.316614150217 0
34 orthogonal 0.45 0.48 0.442865296917 0.55 0 vertical 36.7097771168 0.472865296917 0
35 parallel 0.45 0.48 0.499799378042 0.55 1 horizontal 37.9881618023 0.304799378042 0
36 none 0.55 0.52 0.459582199617 0.55 1 horizontal 31.3785898685 0.409582199617 0
37 none 0.55 0.48 0.453092027162 0.45 2 horizontal 24.9875619411 0.343092027162 0
38 none 0.55 0.48 0.410979027714 0.45 2 vertical 24.7566568851 0.360979027714 0
39 orthogonal 0.45 0.48 0.431366301231 0.55 3 vertical 18.7663061619 0.406366301231 0
40 orthogonal 0.55 0.52 0.486295107396 0.45 0 horizontal 18.6391370296 0.471295107396 -19
41 none 0.45 0.52 0.522222964512 0.55 3 horizontal 42.6229400635 0.357222964512 0
